GEOIDFQ,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
1500000US270017701001,Block Group 1; Census Tract 7701; Aitkin County; Minnesota,465,52,23,9,21,18,21,11,13,6,7,8,23,11,13,8,15,6,28,12,47,17,38,18,99,26,45,17,23,14,28,10,21,8
1500000US270017701002,Block Group 2; Census Tract 7701; Aitkin County; Minnesota,378,46,29,18,22,11,16,13,16,10,20,12,11,8,15,8,13,10,15,9,47,17,29,11,57,16,39,15,21,10,9,6,19,11
1500000US270017701003,Block Group 3; Census Tract 7701; Aitkin County; Minnesota,244,33,6,7,15,15,3,3,15,7,6,5,5,6,5,5,12,9,2,3,9,6,37,23,69,21,31,10,11,7,12,9,6,6
1500000US270017702001,Block Group 1; Census Tract 7702; Aitkin County; Minnesota,364,50,7,7,9,6,21,12,27,17,22,19,25,18,28,18,7,5,12,11,33,17,49,25,58,24,18,10,25,16,6,5,17,15
1500000US270017702002,Block Group 2; Census Tract 7702; Aitkin County; Minnesota,371,49,15,11,23,16,15,13,18,12,13,9,5,4,21,9,9,7,24,14,14,12,69,32,43,14,50,20,28,18,14,13,10,6
1500000US270017702003,Block Group 3; Census Tract 7702; Aitkin County; Minnesota,316,50,16,13,34,21,29,16,6,4,1,2,10,9,36,26,1,2,24,17,34,21,27,20,24,13,35,18,22,17,11,8,6,10
1500000US270017703001,Block Group 1; Census Tract 7703; Aitkin County; Minnesota,593,81,86,45,30,30,38,21,59,36,13,13,20,17,21,14,33,27,12,11,14,14,68,33,63,42,20,16,62,31,48,24,6,7
1500000US270017703002,Block Group 2; Census Tract 7703; Aitkin County; Minnesota,335,51,1,3,47,34,15,9,14,14,18,14,30,27,6,9,10,9,27,17,41,21,16,14,28,16,56,25,8,8,9,8,9,10
1500000US270017703003,Block Group 3; Census Tract 7703; Aitkin County; Minnesota,434,66,18,14,15,11,12,11,16,13,15,16,18,14,15,10,29,23,24,17,29,19,41,24,76,34,55,31,31,15,23,19,17,13
1500000US270017704011,Block Group 1; Census Tract 7704.01; Aitkin County; Minnesota,655,74,14,8,28,13,30,15,32,15,31,24,17,10,26,16,39,19,34,24,29,13,92,31,97,28,48,23,37,23,47,24,54,25
1500000US270017704021,Block Group 1; Census Tract 7704.02; Aitkin County; Minnesota,387,47,2,4,43,25,48,19,39,15,14,8,14,8,13,11,16,7,38,19,27,11,47,17,17,12,31,13,15,13,19,10,4,3
1500000US270017704022,Block Group 2; Census Tract 7704.02; Aitkin County; Minnesota,305,39,14,8,10,5,20,7,11,8,7,6,6,4,13,12,18,11,26,12,27,10,31,15,47,16,31,14,22,15,15,10,7,5
1500000US270017905011,Block Group 1; Census Tract 7905.01; Aitkin County; Minnesota,334,51,19,9,20,9,22,13,32,28,15,9,40,26,3,4,16,16,5,4,20,11,40,21,33,15,20,8,25,11,16,9,8,6
1500000US270017905012,Block Group 2; Census Tract 7905.01; Aitkin County; Minnesota,592,70,25,11,31,13,12,15,43,29,31,18,23,8,16,11,24,13,8,6,72,30,71,22,87,24,55,17,36,13,42,16,16,9
